ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
10022	"ENSG00000072682.18"	"P4HA2"	chr5	-	132227085	132227221	132218544	132218644	132227789	132227857	10022	139,152,42	42,45,16	315,447,519	11,17,48	225	89	0.0	0.0	0.567,0.572,0.509	0.919,0.912,0.81	-0.331
10161	"ENSG00000175592.8"	"FOSL1"	chr11	-	65894013	65894121	65893003	65893296	65896808	65897006	10161	1706,1933,934	108,138,63	1253,1724,2919	35,25,40	197	89	0.0	0.0	0.877,0.864,0.87	0.942,0.969,0.971	-0.09
10162	"ENSG00000175592.8"	"FOSL1"	chr11	-	65894013	65894116	65892644	65893296	65896808	65897006	10162	1066,1216,596	108,138,63	726,1066,1812	35,25,40	192	89	0.0	0.0	0.821,0.803,0.814	0.906,0.952,0.955	-0.125
10344	"ENSG00000121931.15"	"LRIF1"	chr1	-	110951287	110952815	110949850	110950123	110963620	110964079	10344	1033,946,490	86,84,31	73,162,325	106,108,70	1617	89	0.0	0.0	0.398,0.383,0.465	0.037,0.076,0.204	0.31
10730	"ENSG00000273559.4"	"CWC25"	chr17	-	38810275	38810400	38809701	38809765	38810467	38810595	10730	18,24,11	92,85,60	50,53,49	32,30,26	214	89	0.0	0.0	0.075,0.105,0.071	0.394,0.424,0.439	-0.335
11204	"ENSG00000103121.8"	"CMC2"	chr16	-	80981805	80981877	80975800	80976179	80997313	80997429	11204	756,709,305	29,13,11	354,342,256	37,78,39	161	89	0.0	0.0	0.935,0.968,0.939	0.841,0.708,0.784	0.17
11662	"ENSG00000167548.14"	"KMT2D"	chr12	-	49024052	49024100	49022589	49022875	49024577	49024624	11662	14,29,10	51,46,24	1,1,2	38,74,125	137	89	0.0	0.0	0.151,0.291,0.213	0.017,0.009,0.01	0.206
1173	"ENSG00000171634.16"	"BPTF"	chr17	+	67963332	67963506	67959540	67959875	67964211	67964404	1173	118,121,39	77,50,31	152,249,381	18,11,18	263	89	0.0	0.0	0.341,0.45,0.299	0.741,0.885,0.877	-0.471
11867	"ENSG00000112118.17"	"MCM3"	chr6	-	52265234	52265385	52264620	52264786	52266074	52266144	11867	138,186,54	982,1000,451	162,212,229	213,157,215	240	89	0.0	0.0	0.05,0.065,0.043	0.22,0.334,0.283	-0.226
11894	"ENSG00000071626.16"	"DAZAP1"	chr19	+	1425877	1425960	1422347	1422396	1428841	1428995	11894	2021,2116,960	41,57,12	743,931,1051	84,67,95	172	89	0.0	0.0	0.962,0.951,0.976	0.821,0.878,0.851	0.113
12091	"ENSG00000176124.11"	"DLEU1"	chr13	+	50083141	50083194	50082170	50082557	50104703	50107218	12091	174,202,82	75,76,38	37,36,35	99,123,105	142	89	0.0	0.0	0.593,0.625,0.575	0.19,0.155,0.173	0.425
12113	"ENSG00000107758.15"	"PPP3CB"	chr10	-	73439871	73439901	73438197	73438420	73444724	73444822	12113	109,106,54	26,32,13	19,14,35	50,82,104	119	89	0.0	0.0	0.758,0.712,0.756	0.221,0.113,0.201	0.564
12750	"ENSG00000131375.9"	"CAPN7"	chr3	+	15241452	15241588	15240753	15240853	15242177	15242253	12750	193,146,63	17,15,2	14,55,49	18,48,65	225	89	0.0	0.0	0.818,0.794,0.926	0.235,0.312,0.23	0.587
12751	"ENSG00000163006.11"	"CCDC138"	chr2	+	108788031	108788089	108786760	108786915	108788851	108788966	12751	82,89,31	27,27,10	4,1,2	10,19,21	147	89	0.0	0.0	0.648,0.666,0.652	0.195,0.031,0.055	0.562
12975	"ENSG00000026508.16"	"CD44"	chr11	+	35198120	35198246	35189899	35190065	35208104	35208206	12975	717,733,412	379,455,234	574,448,684	797,774,1139	215	89	0.0	0.0	0.439,0.4,0.422	0.23,0.193,0.199	0.213
12976	"ENSG00000026508.16"	"CD44"	chr11	+	35198120	35198246	35189899	35190065	35214851	35214914	12976	601,600,341	262,219,98	472,336,497	473,485,613	215	89	0.0	0.0	0.487,0.531,0.59	0.292,0.223,0.251	0.281
12984	"ENSG00000026508.16"	"CD44"	chr11	+	35204511	35204640	35189834	35190065	35208104	35208206	12984	343,371,186	379,455,234	192,202,250	797,774,1139	218	89	0.0	0.0	0.27,0.25,0.245	0.09,0.096,0.082	0.166
12987	"ENSG00000026508.16"	"CD44"	chr11	+	35209964	35210054	35189834	35190065	35211245	35211449	12987	895,1035,556	3,4,3	1086,1210,1456	45,85,131	179	89	0.0	0.0	0.993,0.992,0.989	0.923,0.876,0.847	0.109
13179	"ENSG00000160679.12"	"CHTOP"	chr1	+	153643226	153643364	153642245	153642429	153645063	153645470	13179	983,893,391	48,48,27	861,866,988	9,5,2	227	89	0.0	0.0	0.889,0.879,0.85	0.974,0.985,0.995	-0.112
13268	"ENSG00000203485.12"	"INF2"	chr14	+	104715283	104715340	104714202	104714856	104718794	104719605	13268	192,175,70	4,6,0	96,84,111	25,22,35	146	89	0.0	0.0	0.967,0.947,1.0	0.701,0.699,0.659	0.285
13506	"ENSG00000132424.14"	"PNISR"	chr6	-	99403828	99403882	99402539	99402710	99404602	99404702	13506	359,279,127	37,26,9	72,78,115	83,80,102	143	89	0.0	0.0	0.858,0.87,0.898	0.351,0.378,0.412	0.495
13713	"ENSG00000099810.18"	"MTAP"	chr9	+	21859302	21859425	21854630	21854870	21931007	21937651	13713	1268,1244,691	4,3,0	749,581,837	28,33,31	212	89	0.0	0.0	0.993,0.994,1.0	0.918,0.881,0.919	0.09
14115	"ENSG00000198000.11"	"NOL8"	chr9	-	92311145	92311259	92310552	92310675	92314266	92316138	14115	362,407,214	12,16,7	20,41,105	10,19,33	203	89	0.0	0.0	0.93,0.918,0.931	0.467,0.486,0.582	0.415
1431	"ENSG00000152795.17"	"HNRNPDL"	chr4	-	82425562	82425667	82424628	82424883	82426036	82426129	1431	480,460,168	1299,1596,813	314,393,462	198,319,309	194	89	0.0	0.0	0.145,0.117,0.087	0.421,0.361,0.407	-0.28
14566	"ENSG00000161526.14"	"SAP30BP"	chr17	+	75671815	75671863	75668515	75668625	75693439	75693482	14566	1078,1097,542	18,28,4	251,276,339	43,77,90	137	89	0.0	0.0	0.975,0.962,0.989	0.791,0.7,0.71	0.242
14805	"ENSG00000066322.13"	"ELOVL1"	chr1	-	43365185	43365376	43364927	43365008	43365563	43365623	14805	857,797,367	102,82,54	524,587,941	12,17,28	280	89	0.0	0.0	0.728,0.755,0.684	0.933,0.916,0.914	-0.199
15071	"ENSG00000149925.17"	"ALDOA"	chr16	+	30065875	30065927	30064423	30064505	30067233	30067366	15071	1901,1973,867	1770,1804,809	6179,4977,6614	2360,2211,2651	141	89	0.0	0.0	0.404,0.408,0.404	0.623,0.587,0.612	-0.202
15489	"ENSG00000106682.14"	"EIF4H"	chr7	+	74190246	74190306	74189821	74189918	74194740	74194878	15489	545,489,154	1598,1513,765	103,105,182	976,1146,1482	149	89	0.0	0.0	0.169,0.162,0.107	0.059,0.052,0.068	0.086
15571	"ENSG00000112081.16"	"SRSF3"	chr6	+	36599820	36600276	36598848	36598983	36601151	36601190	15571	400,441,173	3565,3502,1710	425,395,464	737,816,654	545	89	0.0	0.0	0.018,0.02,0.016	0.086,0.073,0.104	-0.07
15661	"ENSG00000163319.10"	"MRPS18C"	chr4	+	83458345	83458429	83456908	83456958	83459739	83459797	15661	1633,1536,822	64,71,26	322,371,395	66,136,80	173	89	0.0	0.0	0.929,0.918,0.942	0.715,0.584,0.718	0.257
16259	"ENSG00000120694.19"	"HSPH1"	chr13	-	31143791	31143923	31140183	31141259	31145562	31145768	16259	2939,2985,1606	52,49,36	701,438,507	61,37,24	221	89	0.0	0.0	0.958,0.961,0.947	0.822,0.827,0.895	0.107
16420	"ENSG00000165233.17"	"CARD19"	chr9	+	93111878	93111938	93110567	93110721	93112217	93112289	16420	244,264,92	5,10,3	221,237,218	62,52,77	149	89	0.0	0.0	0.967,0.94,0.948	0.68,0.731,0.628	0.272
16588	"ENSG00000029363.15"	"BCLAF1"	chr6	-	136267028	136267175	136261264	136261477	136268161	136268339	16588	1474,1638,777	231,229,149	386,486,661	11,10,17	236	89	0.0	0.0	0.706,0.73,0.663	0.93,0.948,0.936	-0.238
16591	"ENSG00000029363.15"	"BCLAF1"	chr6	-	136269140	136269303	136268161	136268339	136269436	136269612	16591	57,65,19	596,681,335	71,78,142	74,106,151	252	89	0.0	0.0	0.033,0.033,0.02	0.253,0.206,0.249	-0.207
