ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
148	"ENSG00000163482.11"	"STK36"	chr2	+	218696526	218696601	218696589	218696601	218694524	218694635	148	24,53,10	20,14,6	0,0,3	19,24,26	152	89	0.0	0.0	0.413,0.689,0.494	0.0,0.0,0.063	0.511
2128	"ENSG00000100650.15"	"SRSF5"	chr14	+	69769510	69770540	69770466	69770540	69769181	69769251	2128	1291,1456,667	1128,995,490	1194,1258,2167	145,136,213	1045	89	0.0	0.0	0.089,0.111,0.104	0.412,0.441,0.464	-0.338
2152	"ENSG00000163584.17"	"RPL22L1"	chr3	-	170868012	170868201	170868012	170868134	170868297	170868387	2152	254,268,153	4409,3873,2056	55,57,63	2093,2519,2417	156	89	0.0	0.0	0.032,0.038,0.041	0.015,0.013,0.015	0.023
3030	"ENSG00000066322.13"	"ELOVL1"	chr1	-	43364927	43365376	43364927	43365008	43365563	43365623	3030	587,573,267	102,82,54	371,393,664	12,17,28	457	89	0.0	0.0	0.528,0.576,0.491	0.858,0.818,0.822	-0.301
4224	"ENSG00000011275.18"	"RNF216"	chr7	-	5739275	5739621	5739275	5739352	5740972	5741644	4224	14,14,8	138,161,73	40,44,70	55,96,119	358	89	0.0	0.0	0.025,0.021,0.027	0.153,0.102,0.128	-0.103
4526	"ENSG00000088833.17"	"NSFL1C"	chr20	-	1445665	1446149	1445665	1445830	1452492	1452630	4526	8,8,12	426,477,204	50,53,60	123,119,156	408	89	0.0	0.0	0.004,0.004,0.013	0.081,0.089,0.077	-0.075
475	"ENSG00000221978.11"	"CCNL2"	chr1	-	1390765	1392803	1390765	1390865	1393395	1393460	475	2981,2778,1120	39,53,31	2777,4068,5433	13,10,13	2027	89	0.0	0.0	0.77,0.697,0.613	0.904,0.947,0.948	-0.24
7182	"ENSG00000156976.15"	"EIF4A2"	chr3	+	186787478	186787584	186787494	186787584	186787126	186787264	7182	53,43,28	1217,1313,628	10,15,20	1621,2646,2867	105	89	0.0	0.0	0.036,0.027,0.036	0.005,0.005,0.006	0.028
7540	"ENSG00000008838.18"	"MED24"	chr17	-	40033344	40033771	40033344	40033456	40034915	40034972	7540	17,30,13	52,47,16	43,45,46	5,1,4	404	89	0.0	0.0	0.067,0.123,0.152	0.655,0.908,0.717	-0.646
7977	"ENSG00000198131.13"	"ZNF544"	chr19	+	58246710	58246794	58246745	58246794	58246300	58246427	7977	154,197,63	91,106,53	121,132,118	15,8,9	124	89	0.0	0.0	0.548,0.572,0.46	0.853,0.922,0.904	-0.366
